frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.flags,mqtt.msgtype,mqtt.topic
"1776192559.928153989","192.168.0.112","192.168.0.110","42237","1883","731","0x0018","3","Movement"
"1776192559.928249322","192.168.0.110","192.168.0.112","1883","42237","68","0x0010",,
"1776192560.923012864","192.168.0.112","192.168.0.110","42237","1883","731","0x0018","3","Movement"
"1776192560.923039489","192.168.0.110","192.168.0.112","1883","42237","68","0x0010",,
"1776192561.928078573","192.168.0.111","192.168.0.110","45339","1883","782","0x0018","3","Fan Speed"
"1776192561.928170531","192.168.0.110","192.168.0.111","1883","45339","68","0x0010",,
"1776192561.928249781","192.168.0.113","192.168.0.110","35231","1883","935","0x0018","3","Temperature"
"1776192561.928284531","192.168.0.110","192.168.0.113","1883","35231","68","0x0010",,
"1776192561.928374281","192.168.0.112","192.168.0.110","42237","1883","731","0x0018","3","Movement"
"1776192561.928406781","192.168.0.110","192.168.0.112","1883","42237","68","0x0010",,
"1776192562.921899615","192.168.0.112","192.168.0.110","42237","1883","731","0x0018","3","Movement"
"1776192562.921921198","192.168.0.110","192.168.0.112","1883","42237","68","0x0010",,
"1776192563.928212324","192.168.0.112","192.168.0.110","42237","1883","731","0x0018","3","Movement"
"1776192563.928293032","192.168.0.110","192.168.0.112","1883","42237","68","0x0010",,
"1776192564.927460783","192.168.0.111","192.168.0.110","45339","1883","782","0x0018","3","Fan Speed"
"1776192564.927528699","192.168.0.110","192.168.0.111","1883","45339","68","0x0010",,
"1776192564.927623699","192.168.0.112","192.168.0.110","42237","1883","731","0x0018","3","Movement"
"1776192564.927788449","192.168.0.110","192.168.0.112","1883","42237","68","0x0010",,
"1776192565.923451575","192.168.0.112","192.168.0.110","42237","1883","731","0x0018","3","Movement"
"1776192565.923508408","192.168.0.110","192.168.0.112","1883","42237","68","0x0010",,
"1776192565.923563116","192.168.0.113","192.168.0.110","35231","1883","935","0x0018","3","Temperature"
"1776192565.923580366","192.168.0.110","192.168.0.113","1883","35231","68","0x0010",,
"1776192566.927916325","192.168.0.112","192.168.0.110","42237","1883","731","0x0018","3","Movement"
"1776192566.927998409","192.168.0.110","192.168.0.112","1883","42237","68","0x0010",,
"1776192567.923826159","192.168.0.111","192.168.0.110","45339","1883","782","0x0018","3","Fan Speed"
