frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.flags,mqtt.msgtype,mqtt.topic,label
1775524122.70254,192.168.0.111,192.168.0.110,32977.0,1883.0,782,0x0018,3.0,Fan Speed,normal
1775524122.702571,192.168.0.110,192.168.0.111,1883.0,32977.0,68,0x0010,,,normal
1775524122.7031572,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524122.7031734,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524123.7023892,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524123.7025034,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524124.7072752,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524124.7073116,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524124.7074203,192.168.0.113,192.168.0.110,35173.0,1883.0,935,0x0018,3.0,Temperature,normal
1775524124.7074337,192.168.0.110,192.168.0.113,1883.0,35173.0,68,0x0010,,,normal
1775524125.7031937,192.168.0.111,192.168.0.110,32977.0,1883.0,782,0x0018,3.0,Fan Speed,normal
1775524125.703314,192.168.0.110,192.168.0.111,1883.0,32977.0,68,0x0010,,,normal
1775524125.7034059,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524125.7034235,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524126.7026968,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524126.702736,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524127.7039983,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524127.7041087,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524128.7013204,192.168.0.111,192.168.0.110,32977.0,1883.0,782,0x0018,3.0,Fan Speed,normal
1775524128.7013454,192.168.0.110,192.168.0.111,1883.0,32977.0,68,0x0010,,,normal
1775524128.701366,192.168.0.113,192.168.0.110,35173.0,1883.0,935,0x0018,3.0,Temperature,normal
1775524128.7013743,192.168.0.110,192.168.0.113,1883.0,35173.0,68,0x0010,,,normal
1775524128.7013948,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524128.701403,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524129.7018185,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524129.701996,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524130.7015452,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524130.7015772,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524131.7073822,192.168.0.111,192.168.0.110,32977.0,1883.0,782,0x0018,3.0,Fan Speed,normal
1775524131.7075028,192.168.0.110,192.168.0.111,1883.0,32977.0,68,0x0010,,,normal
1775524131.707648,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524131.7076762,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524132.7047317,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524132.7047777,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524132.7048287,192.168.0.113,192.168.0.110,35173.0,1883.0,986,0x0018,3.0,Temperature,normal
1775524132.7048419,192.168.0.110,192.168.0.113,1883.0,35173.0,68,0x0010,,,normal
1775524133.7052903,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524133.7053304,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524134.704605,192.168.0.111,192.168.0.110,32977.0,1883.0,782,0x0018,3.0,Fan Speed,normal
1775524134.704648,192.168.0.110,192.168.0.111,1883.0,32977.0,68,0x0010,,,normal
1775524134.704687,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524134.7046995,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524135.702602,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524135.7026312,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524136.7027974,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524136.7028372,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524136.7030172,192.168.0.113,192.168.0.110,35173.0,1883.0,986,0x0018,3.0,Temperature,normal
1775524136.7030332,192.168.0.110,192.168.0.113,1883.0,35173.0,68,0x0010,,,normal
1775524137.7045448,192.168.0.111,192.168.0.110,32977.0,1883.0,782,0x0018,3.0,Fan Speed,normal
1775524137.7045777,192.168.0.110,192.168.0.111,1883.0,32977.0,68,0x0010,,,normal
1775524137.7046642,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524137.704694,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524138.7034771,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524138.7035284,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524139.7030427,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524139.7031207,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524140.7029011,192.168.0.111,192.168.0.110,32977.0,1883.0,782,0x0018,3.0,Fan Speed,normal
1775524140.7029412,192.168.0.110,192.168.0.111,1883.0,32977.0,68,0x0010,,,normal
1775524140.7030299,192.168.0.113,192.168.0.110,35173.0,1883.0,935,0x0018,3.0,Temperature,normal
1775524140.703042,192.168.0.110,192.168.0.113,1883.0,35173.0,68,0x0010,,,normal
1775524140.7030745,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
1775524140.7030857,192.168.0.110,192.168.0.112,1883.0,39919.0,68,0x0010,,,normal
1775524141.7013588,192.168.0.112,192.168.0.110,39919.0,1883.0,731,0x0018,3.0,Movement,normal
