frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.flags,mqtt.msgtype,mqtt.topic
"1776054803.310620335","192.168.0.113","192.168.0.110","35227","1883","935","0x0018","3","Temperature"
"1776054803.310987211","192.168.0.110","192.168.0.113","1883","35227","68","0x0010",,
"1776054803.311109752","192.168.0.120","192.168.0.110","40409","1883","1654","0x0018","3","Movement"
"1776054803.311131378","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054803.311253294","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054803.311749295","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054804.307237217","192.168.0.111","192.168.0.110","44505","1883","782","0x0018","3","Fan Speed"
"1776054804.307316342","192.168.0.110","192.168.0.111","1883","44505","68","0x0010",,
"1776054804.307406217","192.168.0.120","192.168.0.110","40409","1883","1459","0x0018","3","Movement"
"1776054804.307435675","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054804.307524509","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054804.307544175","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054805.306403851","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054805.306463643","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054805.306522143","192.168.0.120","192.168.0.110","40409","1883","1108","0x0018","3","Movement"
"1776054805.306539435","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054806.310424743","192.168.0.112","192.168.0.110","42981","1883","731","0x0018","3","Movement"
"1776054806.310521285","192.168.0.110","192.168.0.112","1883","42981","68","0x0010",,
"1776054806.310650535","192.168.0.120","192.168.0.110","40409","1883","1316","0x0018","3","Movement"
"1776054806.310686202","192.168.0.110","192.168.0.120","1883","40409","68","0x0010",,
"1776054807.305443914","192.168.0.111","192.168.0.110","44505","1883","782","0x0018","3","Fan Speed"
"1776054807.305513039","192.168.0.110","192.168.0.111","1883","44505","68","0x0010",,
