frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.flags,mqtt.msgtype,mqtt.topic,label
1775524122.70254,12,13,32977.0,1883.0,782,7,3.0,0,1
1775524122.702571,11,14,1883.0,32977.0,68,3,-1.0,2,1
1775524122.7031572,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524122.7031734,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524123.7023892,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524123.7025034,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524124.7072752,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524124.7073116,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524124.7074203,14,13,35173.0,1883.0,935,7,3.0,3,1
1775524124.7074337,11,16,1883.0,35173.0,68,3,-1.0,2,1
1775524125.7031937,12,13,32977.0,1883.0,782,7,3.0,0,1
1775524125.703314,11,14,1883.0,32977.0,68,3,-1.0,2,1
1775524125.703406,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524125.7034235,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524126.7026968,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524126.702736,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524127.7039983,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524127.7041087,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524128.7013204,12,13,32977.0,1883.0,782,7,3.0,0,1
1775524128.7013454,11,14,1883.0,32977.0,68,3,-1.0,2,1
1775524128.701366,14,13,35173.0,1883.0,935,7,3.0,3,1
1775524128.7013743,11,16,1883.0,35173.0,68,3,-1.0,2,1
1775524128.7013948,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524128.701403,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524129.7018185,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524129.701996,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524130.7015452,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524130.7015772,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524131.7073822,12,13,32977.0,1883.0,782,7,3.0,0,1
1775524131.7075028,11,14,1883.0,32977.0,68,3,-1.0,2,1
1775524131.707648,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524131.7076762,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524132.7047317,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524132.7047777,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524132.7048287,14,13,35173.0,1883.0,986,7,3.0,3,1
1775524132.704842,11,16,1883.0,35173.0,68,3,-1.0,2,1
1775524133.7052903,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524133.7053304,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524134.704605,12,13,32977.0,1883.0,782,7,3.0,0,1
1775524134.704648,11,14,1883.0,32977.0,68,3,-1.0,2,1
1775524134.704687,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524134.7046995,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524135.702602,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524135.7026312,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524136.7027974,13,13,39919.0,1883.0,731,7,3.0,1,1
1775524136.7028372,11,15,1883.0,39919.0,68,3,-1.0,2,1
1775524136.7030172,14,13,35173.0,1883.0,986,7,3.0,3,1
