frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.flags,mqtt.msgtype,mqtt.topic
"1775524122.702540009","192.168.0.111","192.168.0.110","32977","1883","782","0x0018","3","Fan Speed"
"1775524122.702571092","192.168.0.110","192.168.0.111","1883","32977","68","0x0010",,
"1775524122.703157342","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524122.703173467","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524123.702389218","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524123.702503426","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524124.707275262","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524124.707311554","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524124.707420304","192.168.0.113","192.168.0.110","35173","1883","935","0x0018","3","Temperature"
"1775524124.707433512","192.168.0.110","192.168.0.113","1883","35173","68","0x0010",,
"1775524125.703193644","192.168.0.111","192.168.0.110","32977","1883","782","0x0018","3","Fan Speed"
"1775524125.703314144","192.168.0.110","192.168.0.111","1883","32977","68","0x0010",,
"1775524125.703405894","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524125.703423603","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524126.702696945","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524126.702736195","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524127.703998458","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524127.704108958","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524128.701320432","192.168.0.111","192.168.0.110","32977","1883","782","0x0018","3","Fan Speed"
"1775524128.701345432","192.168.0.110","192.168.0.111","1883","32977","68","0x0010",,
"1775524128.701366015","192.168.0.113","192.168.0.110","35173","1883","935","0x0018","3","Temperature"
"1775524128.701374598","192.168.0.110","192.168.0.113","1883","35173","68","0x0010",,
"1775524128.701394765","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524128.701402807","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524129.701818408","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524129.701996033","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524130.701545137","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524130.701577304","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524131.707382244","192.168.0.111","192.168.0.110","32977","1883","782","0x0018","3","Fan Speed"
"1775524131.707502827","192.168.0.110","192.168.0.111","1883","32977","68","0x0010",,
"1775524131.707648119","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524131.707676202","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524132.704731646","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524132.704777688","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524132.704828938","192.168.0.113","192.168.0.110","35173","1883","986","0x0018","3","Temperature"
"1775524132.704841855","192.168.0.110","192.168.0.113","1883","35173","68","0x0010",,
"1775524133.705290301","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524133.705330426","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524134.704605250","192.168.0.111","192.168.0.110","32977","1883","782","0x0018","3","Fan Speed"
"1775524134.704647959","192.168.0.110","192.168.0.111","1883","32977","68","0x0010",,
"1775524134.704687375","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524134.704699542","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524135.702602078","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524135.702631245","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524136.702797492","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524136.702837158","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524136.703017367","192.168.0.113","192.168.0.110","35173","1883","986","0x0018","3","Temperature"
"1775524136.703033283","192.168.0.110","192.168.0.113","1883","35173","68","0x0010",,
"1775524137.704544991","192.168.0.111","192.168.0.110","32977","1883","782","0x0018","3","Fan Speed"
"1775524137.704577824","192.168.0.110","192.168.0.111","1883","32977","68","0x0010",,
"1775524137.704664241","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524137.704693908","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524138.703477202","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524138.703528577","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524139.703042999","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524139.703120833","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524140.702901258","192.168.0.111","192.168.0.110","32977","1883","782","0x0018","3","Fan Speed"
"1775524140.702941174","192.168.0.110","192.168.0.111","1883","32977","68","0x0010",,
"1775524140.703029841","192.168.0.113","192.168.0.110","35173","1883","935","0x0018","3","Temperature"
"1775524140.703042174","192.168.0.110","192.168.0.113","1883","35173","68","0x0010",,
"1775524140.703074383","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524140.703085716","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524141.701358811","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524141.701404269","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524142.702443533","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524142.702488658","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524143.705694425","192.168.0.111","192.168.0.110","32977","1883","782","0x0018","3","Fan Speed"
"1775524143.705775675","192.168.0.110","192.168.0.111","1883","32977","68","0x0010",,
"1775524143.706103883","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524143.706146925","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524144.702024612","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524144.702074112","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524144.702143070","192.168.0.113","192.168.0.110","35173","1883","935","0x0018","3","Temperature"
"1775524144.702160653","192.168.0.110","192.168.0.113","1883","35173","68","0x0010",,
"1775524145.702618843","192.168.0.112","192.168.0.110","39919","1883","731","0x0018","3","Movement"
"1775524145.702666759","192.168.0.110","192.168.0.112","1883","39919","68","0x0010",,
"1775524146.702234201","192.168.0.111","192.168.0.110","32977","1883","782","0x0018","3","Fan Speed"
